,Char,あ,い,う,え,お,か,き,く,け,こ,さ,し,す,せ,そ,た,ち,つ,て,と,な,に,ぬ,ね,の,は,ひ,ふ,へ,ほ,ま,み,む,め,も,や,ゆ,よ,ら,り,る,れ,ろ,わ,ゐ,ゑ,を,ん,ゝ
0,あ,926,3,2,0,2,0,0,0,3,1,0,0,1,3,0,0,10,15,0,1,4,1,0,5,1,1,0,2,0,4,4,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1,い,0,938,0,0,1,1,0,0,2,2,0,0,0,0,0,0,2,13,0,0,0,4,0,0,6,6,8,0,0,2,2,0,2,0,0,0,2,0,2,2,0,4,0,0,0,0,0,1,0
2,う,0,0,953,0,0,8,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,27,5,0,0,0,0,0,0,0,0,1
3,え,0,0,0,102,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,3,0,0,1,0,0,1,3,0,1,0,0,0,0,0,0,0,11
4,お,9,0,0,0,905,3,0,0,1,0,0,0,2,0,0,7,0,0,0,0,10,0,0,9,0,4,0,10,0,1,0,0,5,0,1,27,0,0,0,0,1,2,0,2,0,0,1,0,0
5,か,7,0,23,0,11,833,0,0,2,12,0,1,0,0,1,1,0,15,0,0,2,4,0,0,2,1,0,9,0,0,1,0,0,1,2,3,0,3,12,32,15,0,3,0,0,0,0,0,4
6,き,0,1,0,0,0,0,842,1,18,2,39,0,5,1,0,13,0,0,0,0,9,7,0,0,0,0,0,0,0,1,37,0,1,0,3,3,0,4,0,2,3,3,0,0,0,0,4,0,1
7,く,0,0,1,2,0,3,0,900,1,16,0,0,0,0,4,1,0,1,34,3,1,1,0,0,0,0,0,2,7,0,1,1,0,0,1,2,0,1,2,4,0,0,0,0,0,0,0,4,7
8,け,1,0,1,1,1,3,7,2,615,1,2,1,19,13,3,4,0,13,0,1,16,1,0,0,3,3,1,1,0,0,5,0,1,1,7,1,0,0,6,8,2,0,0,0,1,0,21,1,0
9,こ,10,1,6,0,2,1,0,3,3,912,4,7,6,1,2,0,1,0,4,14,1,5,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,2,6,1,1,0,0,0,0,0,1,0,1
10,さ,34,0,0,0,0,0,18,0,5,5,869,6,12,1,0,5,3,12,2,0,0,4,0,0,7,0,0,0,0,3,6,0,1,0,0,1,3,0,2,0,1,0,0,0,0,0,0,0,0
11,し,1,0,0,2,1,0,1,7,5,20,2,886,3,5,0,0,4,1,1,9,4,1,0,0,0,0,1,0,0,0,2,3,0,1,4,0,0,4,15,1,1,4,0,1,0,4,0,0,6
12,す,0,1,0,1,7,0,1,0,2,5,1,0,814,15,4,2,0,44,4,8,4,46,0,0,4,1,2,1,2,1,13,1,0,0,3,5,0,0,1,1,0,3,0,0,0,0,3,0,0
13,せ,4,0,1,0,1,0,3,0,33,2,3,0,9,524,5,1,1,0,6,4,12,0,0,1,0,0,0,0,0,4,9,0,0,2,13,10,2,0,0,0,8,1,3,0,0,0,16,0,0
14,そ,0,0,59,1,1,0,1,1,2,9,1,0,3,29,468,0,0,0,16,2,7,0,0,2,1,0,0,0,0,0,0,0,0,0,2,12,0,0,1,5,0,0,2,0,0,1,3,0,0
15,た,1,0,4,1,5,0,6,0,2,3,5,0,11,0,10,882,1,0,5,1,5,1,0,1,0,0,0,2,0,1,27,1,0,0,2,3,0,2,3,2,10,1,1,0,0,0,1,0,0
16,ち,1,0,2,0,1,0,0,0,1,2,1,3,0,0,0,0,397,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,2,0,0,0,0,0,0,0,0,0
17,つ,0,4,0,0,0,1,0,1,12,1,2,1,6,1,0,2,0,938,0,0,1,7,0,0,2,0,0,1,2,4,3,0,0,0,0,0,2,0,0,3,1,0,4,0,0,0,0,1,0
18,て,2,0,3,0,0,0,0,23,3,4,2,1,8,6,3,3,0,1,913,3,4,1,0,0,0,0,0,0,0,0,10,1,0,0,6,0,0,0,1,0,2,0,0,0,0,0,0,0,0
19,と,0,1,0,0,0,0,0,1,2,43,0,4,4,5,1,2,0,0,26,892,0,1,0,0,0,0,0,0,0,0,0,2,0,0,5,1,0,0,5,2,0,1,0,0,0,0,1,0,1
20,な,20,0,1,1,18,8,1,0,9,3,1,1,4,7,4,3,0,4,1,0,819,4,3,6,2,1,0,0,4,4,6,0,0,5,0,1,1,2,0,5,18,25,3,1,0,1,2,1,0
21,に,2,0,3,0,0,2,0,1,1,24,0,21,4,0,0,4,0,4,0,0,0,893,0,0,1,0,0,6,0,0,5,0,0,2,1,0,0,3,4,4,3,0,0,10,0,0,0,2,0
22,ぬ,0,0,0,0,0,0,1,0,5,0,0,0,0,2,2,0,1,2,0,0,2,0,286,7,1,0,0,2,0,0,0,0,0,9,0,0,7,0,0,0,0,3,0,0,0,5,0,1,0
23,ね,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,2,0,5,366,0,0,4,0,1,0,1,0,0,0,0,0,2,0,0,0,1,7,0,0,1,0,0,0,0
24,の,2,2,0,3,1,4,3,1,10,2,1,1,3,0,0,2,0,9,0,1,1,2,3,5,897,1,0,3,0,0,8,3,0,1,1,0,0,0,0,7,2,7,11,1,0,0,2,0,0
25,は,0,2,2,0,1,1,2,0,12,8,8,0,24,1,15,4,1,4,13,2,1,5,1,1,0,809,0,1,1,1,15,4,0,0,33,0,1,7,3,0,5,6,0,1,0,1,0,2,2
26,ひ,0,4,0,0,11,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,11,1,0,2,4,0,755,0,0,2,1,1,23,1,10,0,0,0,0,0,4,1,0,1,0,0,0,0,0
27,ふ,9,0,0,0,1,2,0,0,5,0,0,0,1,0,0,2,0,1,0,0,2,4,32,3,3,0,0,841,1,0,11,0,0,10,9,2,42,2,7,1,6,1,1,0,1,0,0,0,0
28,へ,0,0,1,5,0,1,2,11,6,0,1,0,2,10,2,5,0,3,2,0,6,0,1,0,1,3,1,3,858,0,13,0,0,0,2,37,2,0,0,0,5,8,3,0,1,0,0,3,2
29,ほ,2,0,1,1,12,1,2,0,7,0,0,0,0,0,0,2,0,11,0,0,5,2,0,2,0,0,0,0,1,260,3,0,0,0,1,0,0,0,0,3,5,0,3,0,0,0,0,0,0
30,ま,0,0,0,0,1,1,0,0,3,9,11,0,12,0,0,1,0,0,0,0,4,5,0,1,0,0,0,1,0,0,920,0,0,0,6,1,2,4,0,9,6,1,0,2,0,0,0,0,0
31,み,1,0,2,5,1,0,3,2,6,8,0,0,1,1,0,0,0,0,5,2,0,16,0,0,7,0,0,2,1,0,0,409,0,1,3,1,0,1,3,2,0,2,2,4,0,0,0,3,4
32,む,0,0,0,0,1,1,0,0,2,0,0,0,5,11,1,1,1,0,4,0,3,1,0,1,1,0,0,0,0,0,2,0,234,0,3,5,1,0,0,0,1,0,0,0,0,0,1,0,0
33,め,5,0,0,9,2,0,2,0,6,1,0,0,1,2,3,0,0,1,0,1,0,0,0,1,3,2,0,6,0,0,3,1,0,490,2,1,1,1,0,0,0,5,0,0,0,2,0,1,0
34,も,2,1,1,0,1,1,2,3,2,1,0,2,1,2,3,1,0,0,5,3,1,0,0,0,5,0,0,0,0,0,3,5,0,0,931,1,2,0,0,7,2,4,0,3,0,0,3,0,2
35,や,0,0,0,1,4,0,1,0,9,0,1,1,0,20,3,4,0,0,1,1,21,0,0,5,1,2,0,4,4,4,11,0,3,2,4,859,7,0,0,0,5,7,2,1,0,4,5,3,0
36,ゆ,2,1,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,6,0,0,0,0,8,227,0,0,1,0,0,0,0,0,0,1,0,0
37,よ,1,0,1,0,0,3,0,0,0,3,0,7,1,0,1,0,0,0,0,1,1,3,0,0,0,1,0,1,0,0,1,2,0,0,0,0,0,971,1,0,1,0,0,0,0,0,0,0,0
38,ら,1,0,3,0,0,2,0,2,4,9,0,10,3,2,0,1,9,0,0,2,0,1,0,4,0,1,0,0,0,0,3,0,0,0,5,1,0,0,917,5,2,5,0,0,0,0,2,0,6
39,り,6,0,1,0,1,9,2,0,27,1,0,1,2,15,0,1,2,11,7,1,1,2,0,0,3,2,0,0,0,0,6,1,0,4,2,4,1,1,8,870,1,4,0,2,0,0,1,0,0
40,る,1,1,1,0,2,13,6,2,2,5,2,0,5,1,0,5,0,2,0,0,26,2,0,2,2,1,0,1,0,0,38,1,0,1,4,2,4,0,8,8,826,9,10,0,0,0,3,1,3
41,れ,2,0,0,0,3,0,4,0,5,1,5,0,0,1,1,0,0,11,0,7,0,3,2,45,26,1,0,1,0,0,6,1,0,0,9,0,2,0,0,3,1,851,0,7,0,0,0,2,0
42,ろ,5,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,1,1,0,0,4,1,1,0,0,1,0,1,1,318,0,0,0,0,0,0
43,わ,22,4,0,0,10,0,0,0,3,1,1,1,0,2,0,0,3,22,0,0,0,3,0,0,1,1,0,0,0,0,0,2,0,2,1,0,0,0,4,4,0,1,2,300,0,0,0,0,0
44,ゐ,2,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,1,0,2,1,0,0,3,1,0,0,0,0,2,0,0,0,0,1,0,0,0,2,5,0,0,0,43,0,0,0,0
45,ゑ,0,0,0,0,0,0,1,0,1,0,0,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,50,0,0,0
46,を,0,2,0,0,9,1,6,0,6,1,1,0,3,3,2,1,0,0,1,7,22,1,0,0,2,0,8,3,2,5,1,0,0,0,0,2,4,0,3,1,0,0,0,0,0,0,903,0,0
47,ん,0,0,0,2,1,0,1,5,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,2,3,0,2,2,0,1,0,0,0,0,1,0,0,0,0,4,4,0,0,0,0,1,966,0
48,ゝ,0,0,0,2,0,4,0,71,0,1,2,13,0,0,0,6,0,0,0,0,1,3,0,0,0,0,0,5,4,0,0,0,0,0,1,0,0,2,22,1,5,0,0,0,0,0,0,0,431
